"Time","Message","Severity"
"11.08.2023 6:39","Clearing existing Azure connection","Information"
"11.08.2023 6:39","Clearing existing Azure context 
","Information"
"11.08.2023 6:39","Clearing of existing connection and context completed.","Information"
"11.08.2023 6:41","
Working in Subscription: Security Monitoring","Information"
"11.08.2023 6:41","Listing Azure Logic Apps workspace from Security Monitoring","Information"
"11.08.2023 6:41","Creating ARM Template","Information"
"11.08.2023 6:42","@{properties=; id=/subscriptions/1ec15845-0467-4b43-bb95-d3badc6dff62/resourceGroups/RG-Microsoft-Sentinel-NE/providers/Microsoft.Logic/workflows/Revoke-AADSignIn-Session-entityTrigger; name=Revoke-AADSignIn-Session-entityTrigger; type=Microsoft.Logic/workflows; location=northeurope; tags=; identity=}","Information"
"11.08.2023 6:42","@{kind=V1; properties=; id=/subscriptions/1ec15845-0467-4b43-bb95-d3badc6dff62/resourceGroups/RG-Microsoft-Sentinel-NE/providers/Microsoft.Web/connections/MicrosoftSentinel-Revoke-AADSignIn-Session-entityTrigger; name=MicrosoftSentinel-Revoke-AADSignIn-Session-entityTrigger; type=Microsoft.Web/connections; location=northeurope}","Information"
"11.08.2023 6:42","@{properties=; id=/subscriptions/1ec15845-0467-4b43-bb95-d3badc6dff62/providers/Microsoft.Web/locations/northeurope/managedApis/azuresentinel; name=azuresentinel; type=Microsoft.Web/locations/managedApis; location=northeurope}","Information"
"11.08.2023 6:42","ARM Template created successfully at E:\Sentinel Repository\Sentinel\5 - Playbooks\Revoke-AADSignIn-Session-entityTrigger\azuredeploy.json","Information"
